"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"TestPlan","TestPlan","","","",0,*,"","","","","Test Plan","Test Plan","","","","","","","","","",,,,,"",,,,"Base",0,*,"","","n/a"
"TestPlan.url","TestPlan.url","","","",0,1,"","","","uri {[]} {[]}
","canonical identifier","canonical identifier","","","","","","","","","",,,,,"",,,,"TestPlan.url",0,1,"",""
"TestPlan.identifier","TestPlan.identifier","","","",0,*,"","","","Identifier {[]} {[]}
","Business identifier","Business identifier","","","","","","","","","",,,,,"",,,,"TestPlan.identifier",0,*,"",""
"TestPlan.version","TestPlan.version","","","",0,*,"","","","string {[]} {[]}
","version","version","","","","","","","","","",,,,,"",,,,"TestPlan.version",0,*,"",""
"TestPlan.name","TestPlan.name","","","",0,*,"","","","string {[]} {[]}
","Name","Name","","","","","","","","","",,,,,"",,,,"TestPlan.name",0,*,"",""
"TestPlan.title","TestPlan.title","","","",0,*,"","","","string {[]} {[]}
","Title","Title","","","","","","","","","",,,,,"",,,,"TestPlan.title",0,*,"",""
"TestPlan.status","TestPlan.status","","","",0,*,"","","","code {[]} {[]}
","Status","Status","","","","","","","","","",,,,,"",,,,"TestPlan.status",0,*,"",""
"TestPlan.date","TestPlan.date","","","",0,*,"","","","dateTime {[]} {[]}
","date","date","","","","","","","","","",,,,,"",,,,"TestPlan.date",0,*,"",""
"TestPlan.publisher","TestPlan.publisher","","","",0,*,"","","","string {[]} {[]}
","Publisher","Publisher","","","","","","","","","",,,,,"",,,,"TestPlan.publisher",0,*,"",""
"TestPlan.contact","TestPlan.contact","","","",0,*,"","","","ContactDetail {[]} {[]}
","Contact","Contact","","","","","","","","","",,,,,"",,,,"TestPlan.contact",0,*,"",""
"TestPlan.description","TestPlan.description","","","",0,1,"","","","markdown {[]} {[]}
","Description","Description","","","","","","","","","",,,,,"",,,,"TestPlan.description",0,1,"",""
"TestPlan.jurisdiction","TestPlan.jurisdiction","","","",0,*,"","","","CodeableConcept {[]} {[]}
","Jurisdiction","Jurisdiction","","","","","","","","","",,,,,"",,,,"TestPlan.jurisdiction",0,*,"",""
"TestPlan.purpose","TestPlan.purpose","","","",0,1,"","","","markdown {[]} {[]}
","purpose","purpose","","","","","","","","","",,,,,"",,,,"TestPlan.purpose",0,1,"",""
"TestPlan.copyright","TestPlan.copyright","","","",0,1,"","","","markdown {[]} {[]}
","Copyright","Copyright","","","","","","","","","",,,,,"",,,,"TestPlan.copyright",0,1,"",""
"TestPlan.category","TestPlan.category","","","",0,*,"","","","CodeableConcept {[]} {[]}
","The category of the Test Plan - can be acceptance, unit, performance,...","The category of the Test Plan - can be acceptance, unit, performance,...","","","","","","","","","",,,,,"",,,,"TestPlan.category",0,*,"",""
"TestPlan.scope","TestPlan.scope","","","",0,*,"","","","Reference {[]} {[]}
","What is being tested with this Test Plan - a conformance resource, or narrative criteria, or an external reference...","What is being tested with this Test Plan - a conformance resource, or narrative criteria, or an external reference...","","","","","","","","","",,,,,"",,,,"TestPlan.scope",0,*,"",""
"TestPlan.testTools","TestPlan.testTools","","","",0,1,"","","","markdown {[]} {[]}
","A description of test tools to be used in the test plan - narrative for now","A description of test tools to be used in the test plan - narrative for now","","","","","","","","","",,,,,"",,,,"TestPlan.testTools",0,1,"",""
